Weekend,Unit_Sold,Print_Spend,Radio_Spend,TV_Spend,Promotion,Promotion_Dummy
33,389,22739,503,4.457143,Yes,1
16,431,23252,483,-4.54286,Yes,1
185,403,13751,852,3.371429,No,0
12,361,17644,694,-3.62857,Yes,1
187,459,14664,812,6.371429,No,0
177,406,22467,489,-7.71429,No,0
189,434,28995,226,-6.71429,No,0
118,416,24508,400,-0.74286,Yes,1
62,390,30100,177,9.257143,No,0
84,351,19123,532,-1.37143,No,0
184,351,21729,416,-9.45714,Yes,1
204,336,18566,535,-4.48571,Yes,1
175,338,16173,630,1.514286,No,0
19,392,17494,557,3.342857,No,0
149,422,11329,801,-10.6571,Yes,1
83,408,25527,226,-6.68571,No,0
186,368,11355,795,-8.71429,No,0
51,344,20593,423,-4.71429,No,0
122,349,15159,640,-6.71429,Yes,1
183,372,27148,153,-2.77143,No,0
161,325,26340,190,-9.77143,Yes,1
159,380,26834,156,-5.88571,No,0
20,335,21378,360,-2.94286,No,0
30,346,19448,436,3.057143,Yes,1
179,357,9975,812,8.028571,Yes,1
110,365,18372,479,-3.97143,No,0
78,400,23630,248,-10.0857,Yes,1
131,351,24608,195,5.8,Yes,1
148,304,19638,390,-7.22857,No,0
55,384,8741,819,-2.25714,No,0
89,313,18188,439,-11.2857,Yes,1
37,397,26306,113,1.714286,Yes,1
216,374,24374,186,7.685714,Yes,1
165,354,15995,523,-5.34286,No,0
130,352,7067,863,-5.45714,No,0
35,306,21016,296,-11.5143,Yes,1
68,372,6282,859,-4.71429,No,0
174,288,19697,295,-3.88571,Yes,1
164,286,14883,463,1.942857,Yes,1
90,353,22662,134,-12.1714,No,0
17,289,21040,193,-5.22857,Yes,1
87,362,8378,696,-0.28571,Yes,1
108,317,10784,595,-2.31429,No,0
234,348,18322,282,-12.3714,No,0
212,305,17999,281,-11.4571,Yes,1
47,260,17017,313,-11.5143,Yes,1
115,347,17485,280,-9.65714,Yes,1
13,341,10265,564,6.342857,Yes,1
22,275,18558,218,-2.74286,No,0
102,260,20873,130,3.257143,Yes,1
15,276,12626,452,-11.8,Yes,1
88,312,16413,291,-9.85714,Yes,1
196,292,3059,821,-10.8857,No,0
144,307,1991,854,0.057143,Yes,1
96,269,12647,428,-7.94286,No,0
114,254,18206,175,-13.1714,No,0
57,303,2907,772,-4.25714,No,0
201,302,14226,309,-1.34286,Yes,1
82,271,9129,499,-12.4571,No,0
53,226,11308,409,4.514286,No,0
3,293,16124,209,-8.51429,Yes,1
28,221,8230,502,-9.68571,No,0
153,306,5076,623,-7.71429,Yes,1
34,221,9146,452,-6.77143,No,0
106,302,14965,205,-4.88571,No,0
121,235,2776,691,1.085714,Yes,1
2,243,16324,144,0.085714,No,0
147,264,12106,304,-8.97143,Yes,1
163,239,4129,621,1,No,0
27,209,14777,179,-14.1143,No,0
236,273,12584,270,-2.11429,Yes,1
151,229,2739,650,-1.2,No,0
18,288,9811,361,-5.25714,Yes,1
23,274,1183,707,0.742857,Yes,1
49,216,12910,203,-14.4857,No,0
172,236,6727,451,-5.51429,Yes,1
211,222,4350,543,3.485714,Yes,1
222,269,14536,124,-7.6,Yes,1
197,214,4379,521,-8.65714,No,0
74,240,12467,195,-13.6571,Yes,1
77,263,1092,650,-13.6571,No,0
66,245,11981,200,-2.77143,No,0
69,267,2707,573,-4.77143,No,0
160,256,2013,565,-7.02857,No,0
235,205,12177,136,-7.17143,No,0
70,183,4119,435,1.685714,Yes,1
136,260,1740,534,-1.31429,No,0
92,192,9015,220,-5.45714,No,0
120,188,1071,480,-10.8857,Yes,1
193,148,7384,195,-4.14286,Yes,1
139,212,6850,181,-1.37143,No,0
176,184,7207,165,-8.37143,Yes,1
126,198,7333,152,-10.4857,Yes,1
76,155,3133,261,-10.8571,Yes,1
223,126,2367,222,-7.37143,Yes,1
166,128,4406,129,-0.45714,Yes,1
154,94,3566,129,-6.65714,No,0
63,172,1923,189,-11.7143,Yes,1
169,84,2918,120,-9.91429,Yes,1
